paso,metodo,escenario,seed,recompensa_paso,recompensa_total,costo_decision,costo_total,accion,bloque_razonamiento,posicion_x,posicion_y,distancia_a_meta,sobre_arena,colision_borde,meta_alcanzada
0,RL-of-Thoughts Navigator,obstaculos_densos,123,0.0,0.0,0.0,0.0,0,,60.0,60.0,832.3460693359375,False,False,False
0,GoT Navigation Graph,obstaculos_densos,123,0.0,0.0,0.0,0.0,0,,60.0,60.0,832.3460693359375,False,False,False
0,Adaptive rollout budget,obstaculos_densos,123,0.0,0.0,0.0,0.0,0,,60.0,60.0,832.3460693359375,False,False,False
1,RL-of-Thoughts Navigator,obstaculos_densos,123,0.1,0.1,2.0,2.0,1,ACT,66.0,60.0,827.4515380859375,False,False,False
1,GoT Navigation Graph,obstaculos_densos,123,0.1,0.1,393.0,393.0,1,GRAPH,66.0,60.0,827.4515380859375,False,False,False
1,Adaptive rollout budget,obstaculos_densos,123,0.1,0.1,3.0,3.0,0,Adaptive rollout budget,66.0,60.0,827.4515380859375,False,False,False
2,RL-of-Thoughts Navigator,obstaculos_densos,123,0.1,0.2,2.0,4.0,1,ACT,71.63815307617188,62.052120208740234,821.6700439453125,False,False,False
2,GoT Navigation Graph,obstaculos_densos,123,0.1,0.2,393.0,786.0,1,GRAPH,71.63815307617188,62.052120208740234,821.6700439453125,False,False,False
2,Adaptive rollout budget,obstaculos_densos,123,0.1,0.2,3.0,6.0,0,Adaptive rollout budget,72.0,60.0,822.5715942382812,False,False,False
3,RL-of-Thoughts Navigator,obstaculos_densos,123,0.1,0.30000000000000004,2.0,6.0,0,ACT,76.23442077636719,65.90884399414062,815.6881103515625,False,False,False
3,GoT Navigation Graph,obstaculos_densos,123,0.1,0.30000000000000004,393.0,1179.0,1,GRAPH,76.23442077636719,65.90884399414062,815.6881103515625,False,False,False
3,Adaptive rollout budget,obstaculos_densos,123,0.1,0.30000000000000004,3.0,9.0,0,Adaptive rollout budget,78.0,60.0,817.70654296875,False,False,False
4,RL-of-Thoughts Navigator,obstaculos_densos,123,0.1,0.4,2.0,8.0,0,ACT,80.8306884765625,69.76557159423828,809.7064819335938,False,False,False
4,GoT Navigation Graph,obstaculos_densos,123,0.1,0.4,385.0,1564.0,0,GRAPH,79.23442077636719,71.10499572753906,810.2306518554688,False,False,False
4,Adaptive rollout budget,obstaculos_densos,123,0.1,0.4,3.0,12.0,0,Adaptive rollout budget,84.0,60.0,812.856689453125,False,False,False
5,RL-of-Thoughts Navigator,obstaculos_densos,123,0.1,0.5,2.0,10.0,0,ACT,85.42695617675781,73.62229919433594,803.72509765625,False,False,False
5,GoT Navigation Graph,obstaculos_densos,123,0.1,0.5,385.0,1949.0,0,GRAPH,82.23442077636719,76.3011474609375,804.7808227539062,False,False,False
5,Adaptive rollout budget,obstaculos_densos,123,0.1,0.5,3.0,15.0,0,Adaptive rollout budget,90.0,60.0,808.0222778320312,False,False,False
6,RL-of-Thoughts Navigator,obstaculos_densos,123,0.1,0.6,2.0,12.0,0,ACT,90.02322387695312,77.4790267944336,797.7440185546875,False,False,False
6,GoT Navigation Graph,obstaculos_densos,123,0.1,0.6,384.0,2333.0,0,GRAPH,85.23442077636719,81.49729919433594,799.3388671875,False,False,False
